product_category,brand,commercial_number,BDM,transcript,audio_only_transcript,ocr_text,word_count,superlative_count,comparative_count,uniqueness_count,total_bdm_terms_count,total_bdm_terms_pct,superlatives,comparatives,unique_words,adj_noun_pairs,num_adj_noun_pairs
1.0,AvocadosfromMexico,AD0525,1.0,"NOT IMPLEMENTED YET  Well, we didn't. We sealed the bad out and kept the good in. We have everything we ever wanted. You've all these avocados from Mexico, but we're in the chips. The chips are outside. The chips are outside. Oh, my God! Wait, wait! Over the hottest, tasty, sweet, unlocks of things! Steve? Oh, Wi-Fi's down. Oh, my God! Oh, my God! Those are Mexico."," Well, we didn't. We sealed the bad out and kept the good in. We have everything we ever wanted. You've all these avocados from Mexico, but we're in the chips. The chips are outside. The chips are outside. Oh, my God! Wait, wait! Over the hottest, tasty, sweet, unlocks of things! Steve? Oh, Wi-Fi's down. Oh, my God! Oh, my God! Those are Mexico.",NOT IMPLEMENTED YET,98,1,0,0,1,1.020408163265306,hottest,,,[],0
1.0,AvocadosfromMexico,AD0745,0.0,"NOT IMPLEMENTED YET  This is officially the worst day I'll get ever bitten. Look at those barbarians. What do you mean when they come to town? Well, tough. We drove for three months in an ox cart with our kids to watch you get destroyed. Yeah, we made great time. I'm sorry. What do you do? Adding avocado is from Mexico. Wants them. Let's kick this party up and out. You know, they also taste great on salads. Yeah, I see, is there we get it? I love salads. I will guathals from Mexico."," This is officially the worst day I'll get ever bitten. Look at those barbarians. What do you mean when they come to town? Well, tough. We drove for three months in an ox cart with our kids to watch you get destroyed. Yeah, we made great time. I'm sorry. What do you do? Adding avocado is from Mexico. Wants them. Let's kick this party up and out. You know, they also taste great on salads. Yeah, I see, is there we get it? I love salads. I will guathals from Mexico.",NOT IMPLEMENTED YET,118,1,0,0,1,0.847457627118644,worst,,,"['worst day', 'ox cart', 'great time']",3
1.0,AvocadosfromMexico,AD0474,0.0,"NOT IMPLEMENTED YET  Guys, how can we be a secret society if we can't keep all of our secrets? Do they know that we fake the monoland? Or that there's only 49 shades of growth? No, there's suspicious, but what they do know is that avocados from Mexico have good fat, which means that someone in here, Kyle, are you streaming this? Zenacle? No, it's not cool. That's what secret means. It's a secret society. Oh, wow, secret. Yep. At least they don't know about subliminal advertising. Hey, time! What? Avocados from Mexico?"," Guys, how can we be a secret society if we can't keep all of our secrets? Do they know that we fake the monoland? Or that there's only 49 shades of growth? No, there's suspicious, but what they do know is that avocados from Mexico have good fat, which means that someone in here, Kyle, are you streaming this? Zenacle? No, it's not cool. That's what secret means. It's a secret society. Oh, wow, secret. Yep. At least they don't know about subliminal advertising. Hey, time! What? Avocados from Mexico?",NOT IMPLEMENTED YET,125,1,0,1,2,1.6,least,,only,"['secret society', 'good fat', 'secret society', 'subliminal advertising']",4
1.0,Butterfinger,AD0420,1.0,"NOT IMPLEMENTED YET  A bull rider is bold. Now a bull rider on a canoe is a bulldozer than boat. And if he jumps from that plane, that's bolder than bold. And if he jumps while eating a butterfly, it's crispy crunchy and peanut buttery glory. But that's bolder than bolder than bold. And if he eats it, even when his mother doesn't have to. You're a spoiled your dinner! That's bolder than bolder than bolder than bolder than bolder than bold. All-time bolder than bold. Crispy and crunchy peanut buttery. Butterfinger."," A bull rider is bold. Now a bull rider on a canoe is a bulldozer than boat. And if he jumps from that plane, that's bolder than bold. And if he jumps while eating a butterfly, it's crispy crunchy and peanut buttery glory. But that's bolder than bolder than bold. And if he eats it, even when his mother doesn't have to. You're a spoiled your dinner! That's bolder than bolder than bolder than bolder than bolder than bold. All-time bolder than bold. Crispy and crunchy peanut buttery. Butterfinger.",NOT IMPLEMENTED YET,115,0,9,0,9,7.82608695652174,,"bolder, bolder, bolder, bolder, bolder, bolder, bolder, bolder, bolder",,['crunchy peanut'],1
1.0,AvocadosfromMexico,AD0635,1.0,"NOT IMPLEMENTED YET  Welcome to the Avocado's for Mexico shopping network. We're buying stuff for your avocado. It's totally isn't weird. Take it away, Molly. Keep your friends close and your avocado's closer. With a new avocado carrier. Oh, look how always in season he is. Thanks to this chip floating. Your avocado will be healthy, delicious, and quiet. Take your avocado to meet your parents. With our new travel collection. And to avocado's have heads. We don't know. But look how cute this helmet is. Remember, your avocado is worth it. Shop now. We'll throw in Molly. Wait, avocado's from Mexico."," Welcome to the Avocado's for Mexico shopping network. We're buying stuff for your avocado. It's totally isn't weird. Take it away, Molly. Keep your friends close and your avocado's closer. With a new avocado carrier. Oh, look how always in season he is. Thanks to this chip floating. Your avocado will be healthy, delicious, and quiet. Take your avocado to meet your parents. With our new travel collection. And to avocado's have heads. We don't know. But look how cute this helmet is. Remember, your avocado is worth it. Shop now. We'll throw in Molly. Wait, avocado's from Mexico.",NOT IMPLEMENTED YET,136,0,1,0,1,0.7352941176470588,,closer,,"['avocado carrier', 'new travel']",2
1.0,Cheetos,AD0694,0.0,"NOT IMPLEMENTED YET  Did you steal my cheetos again? Just tell them it was you Wasn't me Saw you snacking on the sofa Wasn't me You even had them in the shower It wasn't me I even cut you on camera I don't want to drop to access to your snacks Don't talk surprised not to sleep behind your bucket I got a keep touch before she ended up on the lesser due to situation Our each thing got spread blood to keep you on stash a guttoy It better if she asks where they are you say fogg it's a never admit to a word And please don't upset her and she keep us stuck in a kiss Shut it up Well, did you? Wasn't me? Oh Okay Well that's the first time that's ever worked No cheetos crunch pop mix"," Did you steal my cheetos again? Just tell them it was you Wasn't me Saw you snacking on the sofa Wasn't me You even had them in the shower It wasn't me I even cut you on camera I don't want to drop to access to your snacks Don't talk surprised not to sleep behind your bucket I got a keep touch before she ended up on the lesser due to situation Our each thing got spread blood to keep you on stash a guttoy It better if she asks where they are you say fogg it's a never admit to a word And please don't upset her and she keep us stuck in a kiss Shut it up Well, did you? Wasn't me? Oh Okay Well that's the first time that's ever worked No cheetos crunch pop mix",NOT IMPLEMENTED YET,157,0,1,1,2,1.2738853503184715,,lesser,first,['first time'],1
1.0,AvocadosfromMexico,AD0357,0.0,"NOT IMPLEMENTED YET  With an ex-pick in the first draft ever, Australia selects the Kangaroo. Yeah, like that pick it up, Lops, John Vertichor. Brazil selects the slong off the field issues. Mauritius selects the Dodo Burn. And Mexico selects. The avocado! Great, the original Kangaroo. Perfect, well, they make avocados from Mexico the ideal year-round snack. Avocados from..."," With an ex-pick in the first draft ever, Australia selects the Kangaroo. Yeah, like that pick it up, Lops, John Vertichor. Brazil selects the slong off the field issues. Mauritius selects the Dodo Burn. And Mexico selects. The avocado! Great, the original Kangaroo. Perfect, well, they make avocados from Mexico the ideal year-round snack. Avocados from...",NOT IMPLEMENTED YET,80,0,0,2,2,2.5,,,"first, original","['first draft', 'ideal year']",2
1.0,Chobani,AD0314,0.0,NOT IMPLEMENTED YET  How are you doing today? Yeah. Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! It's hard these days to find food made with only real natural ingredients. But it's your body. It's the only way we know how. A couple yogurt won't change the world. Are you all right? But how we make it night. Show body. How matters., How are you doing today? Yeah. Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! It's hard these days to find food made with only real natural ingredients. But it's your body. It's the only way we know how. A couple yogurt won't change the world. Are you all right? But how we make it night. Show body. How matters.,NOT IMPLEMENTED YET,103,0,0,2,2,1.9417475728155336,,,"only, only","['natural ingredients', 'only way']",2
1.0,AvocadosfromMexico,AD0584,1.0,"NOT IMPLEMENTED YET  Pagentry, poise, welcome to the Doge Show where humans compete for the ultimate prize, avocados from Mexico. You're healthy, delicious, when everything, and always and see. Looks like the doge's have settled in. All they could do is watch now. That's a good sit, a shake, and a stay. Amazing. I'm sure he's making someone very proud right now. What kind of one is that? Oh, the guac got her. That'll land you in the penalty cone. Avocados from Mexico."," Pagentry, poise, welcome to the Doge Show where humans compete for the ultimate prize, avocados from Mexico. You're healthy, delicious, when everything, and always and see. Looks like the doge's have settled in. All they could do is watch now. That's a good sit, a shake, and a stay. Amazing. I'm sure he's making someone very proud right now. What kind of one is that? Oh, the guac got her. That'll land you in the penalty cone. Avocados from Mexico.",NOT IMPLEMENTED YET,110,0,0,1,1,0.9090909090909092,,,ultimate,"['ultimate prize', 'good sit']",2
1.0,AvocadosfromMexico,AD0414,1.0,"NOT IMPLEMENTED YET  Over here we have the cube of Rubik. This simple puzzle was actually considered unsolvable by the humans. Now, we think this was a 21st century torture device. Pretty gruesome. And this is the white and gold dress that cost a civil war. This is Scott Beyo, but most amazing of all are the avocados from Mexico. They're always in season, so you can enjoy them all year long. Anybody want a feed-scot bay? Which included in the price of admission? No? Avocados from Mexico!"," Over here we have the cube of Rubik. This simple puzzle was actually considered unsolvable by the humans. Now, we think this was a 21st century torture device. Pretty gruesome. And this is the white and gold dress that cost a civil war. This is Scott Beyo, but most amazing of all are the avocados from Mexico. They're always in season, so you can enjoy them all year long. Anybody want a feed-scot bay? Which included in the price of admission? No? Avocados from Mexico!",NOT IMPLEMENTED YET,106,0,0,0,0,0.0,,,,"['simple puzzle', '21st century', 'civil war']",3
1.0,BUBLY,AD0586,1.0,"NOT IMPLEMENTED YET  Ooh, like very boobly. My favorite. You mean bubbly? No, I mean bubbly. Your Michael Bublay, that's a bubble. She's right, Michael Bublay. It's pronounced bubbly. I know, thanks. Dovey. And I have your autograph Mr. Bubbly? Spobly. Bubly. It's bubbly. Sparkling water. Pack this smile. Michael? Don't do that."," Ooh, like very boobly. My favorite. You mean bubbly? No, I mean bubbly. Your Michael Bublay, that's a bubble. She's right, Michael Bublay. It's pronounced bubbly. I know, thanks. Dovey. And I have your autograph Mr. Bubbly? Spobly. Bubly. It's bubbly. Sparkling water. Pack this smile. Michael? Don't do that.",NOT IMPLEMENTED YET,81,0,0,0,0,0.0,,,,['Sparkling water'],1
1.0,Bai,AD0475,0.0,"NOT IMPLEMENTED YET  I don't know how I get tough. I just want to tell you that I've had enough. And by sound crazy, but it ain't no lie, baby. Bye, bye, bye. Five calories, no artificial sweeteners, and taste amazing. Bye."," I don't know how I get tough. I just want to tell you that I've had enough. And by sound crazy, but it ain't no lie, baby. Bye, bye, bye. Five calories, no artificial sweeteners, and taste amazing. Bye.",NOT IMPLEMENTED YET,58,0,0,0,0,0.0,,,,['artificial sweeteners'],1
1.0,Cheerios,AD0323,0.0,"NOT IMPLEMENTED YET  Hey, Gracie. You know how our family has daddy and mommy? Can we? Yeah, that's right. Pretty soon, you're gonna have a baby brother. And a puppy. Deal."," Hey, Gracie. You know how our family has daddy and mommy? Can we? Yeah, that's right. Pretty soon, you're gonna have a baby brother. And a puppy. Deal.",NOT IMPLEMENTED YET,45,0,0,0,0,0.0,,,,[],0
1.0,Cheetos,AD0638,0.0,"NOT IMPLEMENTED YET  Cheetah says popcorn now. Hey, I'm gonna need it to me. Never mind. Can't touch this. Help. You can't touch this. You can't touch this. You can't touch this. You can't touch this. I trust you. Stop. Heaven time. I touched new Cheetah's popcorn. It's a Cheetah's thing."," Cheetah says popcorn now. Hey, I'm gonna need it to me. Never mind. Can't touch this. Help. You can't touch this. You can't touch this. You can't touch this. You can't touch this. I trust you. Stop. Heaven time. I touched new Cheetah's popcorn. It's a Cheetah's thing.",NOT IMPLEMENTED YET,77,0,0,0,0,0.0,,,,[],0
1.0,Cheetos,AD0760,0.0,,,NOT IMPLEMENTED YET,1,0,0,0,0,0.0,,,,[],0
1.0,CocaCola,AD0264,0.0,NOT IMPLEMENTED YET  I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die., I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die. I'm not going to die.,NOT IMPLEMENTED YET,102,0,0,0,0,0.0,,,,[],0
1.0,CocaCola,AD0265,0.0,NOT IMPLEMENTED YET  I'm getting so excited I'm sitting there I'm getting a little bit I'm giving my little me a little my life Now's the time I'm going to eat So say this time I'm going to eat, I'm getting so excited I'm sitting there I'm getting a little bit I'm giving my little me a little my life Now's the time I'm going to eat So say this time I'm going to eat,NOT IMPLEMENTED YET,47,0,0,0,0,0.0,,,,['little bit'],1
1.0,CocaCola,AD0316,0.0,"NOT IMPLEMENTED YET  Anshanker The beautiful, for spacious guide Back Hornings are plump Now, as he´s in his eyes And the hope that And his dreams This is the skies Flyback A man When the rain dies Last night Day wide snow is still warm David, your seven twenties Sun If sun"," Anshanker The beautiful, for spacious guide Back Hornings are plump Now, as he´s in his eyes And the hope that And his dreams This is the skies Flyback A man When the rain dies Last night Day wide snow is still warm David, your seven twenties Sun If sun",NOT IMPLEMENTED YET,56,0,0,0,0,0.0,,,,"['spacious guide', 'Last night', 'wide snow']",3
1.0,CocaCola,AD0317,0.0,"NOT IMPLEMENTED YET  Let's go Adrian. Adrian, let's go. Get out there and feel, let's go. Hey, Ellen, let's go. 34-pinch cover two. Don't mess this up, I can Adrian. Ready, three, set, five, two, three, go. Oh, my Adrian! Wow! Good, right, left. He's funny. He cuts back. Fail of 80. Yeah, coming through. One man's a me. That's how we do it. Let's go. Good, yeah. Hey, kid. Here. Yeah. Yeah. Yeah. Yeah."," Let's go Adrian. Adrian, let's go. Get out there and feel, let's go. Hey, Ellen, let's go. 34-pinch cover two. Don't mess this up, I can Adrian. Ready, three, set, five, two, three, go. Oh, my Adrian! Wow! Good, right, left. He's funny. He cuts back. Fail of 80. Yeah, coming through. One man's a me. That's how we do it. Let's go. Good, yeah. Hey, kid. Here. Yeah. Yeah. Yeah. Yeah.",NOT IMPLEMENTED YET,128,0,0,0,0,0.0,,,,[],0
1.0,CocaCola,AD0364,0.0,"NOT IMPLEMENTED YET  I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. Be sure, crew! I'm to kill you. I'm going to kill you. Don't let me show Our goodness. So how'd I know We're going to kill him. And don't let me show him. If we don't know If we. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you."," I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you. Be sure, crew! I'm to kill you. I'm going to kill you. Don't let me show Our goodness. So how'd I know We're going to kill him. And don't let me show him. If we don't know If we. I'm going to kill you. I'm going to kill you. I'm going to kill you. I'm going to kill you.",NOT IMPLEMENTED YET,184,0,0,0,0,0.0,,,,[],0
